numbers,stimuli,correctanswer,correctanswer2,condition,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key,accuracy,RTs,participant,gender,age,handedness,frameRate,expName,date
3,cop_3.png,a,g,l,3,11,83,18,a,1,0.8673764728,35,m,21,d,60.01808426,SNARC lie 1,2019_May_16_1301
8,lawyer_8.png,a,g,t,3,22,94,6,g,1,0.8674120293,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
9,lawyer_9.png,g,a,t,3,22,94,15,a,1,0.8674178943,4,f,24,d,60.03340485,SNARC lie 2,2019_Apr_09_1700
4,lawyer_4.png,a,g,t,0,21,21,3,g,1,0.8674226596,18,f,23,d,60.01702786,SNARC lie 2,2019_Apr_18_1207
3,cop_3.png,a,g,l,0,9,9,18,a,1,0.8674318236,4,f,24,d,60.03340485,SNARC lie 2,2019_Apr_09_1700
6,cop_6.png,g,a,l,1,2,26,20,a,1,0.867453084,5,f,22,d,60.06486318,SNARC lie 1,2019_Apr_09_1752
2,lawyer_2.png,a,g,t,2,21,69,9,g,1,0.8674541838,5,f,22,d,60.06486318,SNARC lie 1,2019_Apr_09_1752
7,lawyer_7.png,g,a,t,3,2,74,5,g,1,0.8674629811,1,f,27,d,59.90355943,SNARC lie 1,2019_Apr_01_1630
1,cop_1.png,a,g,l,2,18,66,16,g,1,0.8674651805,5,f,22,d,60.06486318,SNARC lie 1,2019_Apr_09_1752
4,cop_4.png,g,a,l,1,18,42,19,a,1,0.8674717785,15,f,19,d,60.03657565,SNARC lie 1,2019_Apr_17_1720
3,lawyer_3.png,g,a,t,4,0,96,10,a,1,0.8674743444,2,f,28,d,60.06102824,SNARC lie 2,2019_Apr_04_1721
7,lawyer_7.png,g,a,t,2,22,70,13,g,1,0.8674758108,2,f,28,d,60.06102824,SNARC lie 2,2019_Apr_04_1721
3,lawyer_3.png,g,a,t,2,4,52,10,a,1,0.86747801,12,m,24,d,60.00131965,SNARC lie 2,2019_Apr_17_1403
2,cop_2.png,g,a,l,4,4,100,17,a,1,0.8674787432,38,f,21,d,60.00791881,SNARC lie 2,2019_May_16_1737
2,lawyer_2.png,a,g,t,1,2,26,9,g,1,0.8674794763,2,f,28,d,60.06102824,SNARC lie 2,2019_Apr_04_1721
2,lawyer_2.png,a,g,t,1,15,39,9,a,1,0.8674802093,19,f,19,d,60.02878139,SNARC lie 1,2019_Apr_18_1302
6,lawyer_6.png,a,g,t,1,15,39,4,g,1,0.8674805759,6,f,21,d,60.01676381,SNARC lie 2,2019_Apr_10_0911
7,cop_7.png,a,g,l,3,3,75,21,a,1,0.867480576,22,f,22,d,60.02178155,SNARC lie 2,2019_Apr_18_1558
7,cop_7.png,a,g,l,4,5,101,21,g,1,0.8674813092,16,f,27,d,60.02680016,SNARC lie 2,2019_Apr_18_1009
3,cop_3.png,a,g,l,4,18,114,18,a,1,0.8674816757,11,f,21,d,60.03644348,SNARC lie 1,2019_Apr_10_1403
9,lawyer_9.png,g,a,t,0,11,11,7,g,1,0.8674820422,23,f,24,d,60.01161484,SNARC lie 1,2019_Apr_18_1730
1,lawyer_1.png,g,a,t,1,12,36,0,a,1,0.8674886404,13,f,19,d,60.00092376,SNARC lie 1,2019_Apr_17_1458
7,lawyer_7.png,g,a,t,0,6,6,13,g,1,0.8674908397,9,m,27,d,60.0087107,SNARC lie 1,2019_Apr_10_1212
2,cop_2.png,g,a,l,1,16,40,17,g,1,0.8674915729,19,f,19,d,60.02878139,SNARC lie 1,2019_Apr_18_1302
8,cop_8.png,g,a,l,2,11,59,22,g,1,0.867492306,25,m,19,s,60.01491534,SNARC lie 1,2019_Apr_24_1610
