numbers,stimuli,correctanswer,correctanswer2,condition,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key,accuracy,RTs,participant,gender,age,handedness,frameRate,expName,date
6,lawyer_6.png,a,g,t,4,1,33,4,a,1,0.5676156166,35,m,21,d,60.01808426,SNARC lie 1,2019_May_16_1301
1,lawyer_1.png,g,a,t,0,0,0,0,g,1,0.5676156166,12,m,24,d,60.00131965,SNARC lie 2,2019_Apr_17_1403
3,lawyer_3.png,g,a,t,2,7,23,2,g,1,0.5676159831,13,f,19,d,60.00092376,SNARC lie 1,2019_Apr_17_1458
1,lawyer_1.png,g,a,t,3,0,24,0,g,1,0.5676163498,6,f,21,d,60.01676381,SNARC lie 2,2019_Apr_10_0911
4,lawyer_4.png,a,g,t,0,5,5,3,g,1,0.56761635,33,f,20,d,60.02283803,SNARC lie 1,2019_Apr_30_1445
6,lawyer_6.png,a,g,t,4,2,34,4,g,1,0.567617083,29,m,20,d,60.00580693,SNARC lie 1,2019_Apr_30_1119
1,lawyer_1.png,g,a,t,1,2,10,0,g,1,0.567617083,30,m,26,d,60.02297006,SNARC lie 2,2019_Apr_30_1211
9,lawyer_9.png,g,a,t,4,0,32,7,a,1,0.5676181829,31,m,21,d,60.02297006,SNARC lie 1,2019_Apr_30_1303
2,lawyer_2.png,a,g,t,4,3,35,1,a,1,0.5676192823,12,m,24,d,60.00131965,SNARC lie 2,2019_Apr_17_1403
1,lawyer_1.png,g,a,t,4,7,39,0,g,1,0.5676207484,22,f,22,d,60.02178155,SNARC lie 2,2019_Apr_18_1558
9,lawyer_9.png,g,a,t,1,1,9,7,g,1,0.5676214816,28,f,21,d,60.03657565,SNARC lie 2,2019_Apr_30_0939
1,lawyer_1.png,g,a,t,4,6,38,0,a,1,0.5676222146,19,f,19,d,60.02878139,SNARC lie 1,2019_Apr_18_1302
4,lawyer_4.png,a,g,t,0,0,0,3,g,1,0.5676222146,19,f,19,d,60.02878139,SNARC lie 1,2019_Apr_18_1302
4,lawyer_4.png,a,g,t,1,5,13,3,a,1,0.5676229477,19,f,19,d,60.02878139,SNARC lie 1,2019_Apr_18_1302
2,lawyer_2.png,a,g,t,4,6,38,1,g,1,0.5676233144,28,f,21,d,60.03657565,SNARC lie 2,2019_Apr_30_0939
1,lawyer_1.png,g,a,t,2,1,17,0,g,1,0.5676247806,25,m,19,s,60.01491534,SNARC lie 1,2019_Apr_24_1610
8,lawyer_8.png,a,g,t,1,1,9,6,g,1,0.5676262467,34,f,23,s,60.01557549,SNARC lie 2,2019_May_16_1156
9,lawyer_9.png,g,a,t,4,4,36,7,a,1,0.5676273466,36,f,20,d,60.02508316,SNARC lie 2,2019_May_16_1508
4,lawyer_4.png,a,g,t,1,2,10,3,a,1,0.5676280796,34,f,23,s,60.01557549,SNARC lie 2,2019_May_16_1156
7,lawyer_7.png,g,a,t,2,5,21,5,g,1,0.5676288125,33,f,20,d,60.02283803,SNARC lie 1,2019_Apr_30_1445
3,lawyer_3.png,g,a,t,1,4,12,2,a,1,0.5676295455,34,f,23,s,60.01557549,SNARC lie 2,2019_May_16_1156
2,lawyer_2.png,a,g,t,1,3,11,1,g,1,0.5676310121,21,f,20,d,60.02323421,SNARC lie 1,2019_Apr_18_1508
7,lawyer_7.png,g,a,t,4,3,35,5,a,1,0.5676310123,14,m,21,d,60.00686277,SNARC lie 2,2019_Apr_17_1552
2,lawyer_2.png,a,g,t,3,7,31,1,a,1,0.5676317452,19,f,19,d,60.02878139,SNARC lie 1,2019_Apr_18_1302
7,lawyer_7.png,g,a,t,2,4,20,5,a,1,0.5676317452,28,f,21,d,60.03657565,SNARC lie 2,2019_Apr_30_0939
1,lawyer_1.png,g,a,t,2,2,18,0,g,1,0.5676324782,36,f,20,d,60.02508316,SNARC lie 2,2019_May_16_1508
